"","when_began_current"
"1799","2011"
"1800","2011"
"1801","2011"
"1802","2016"
"1803","2016"
"1804","2016"
"1805","2016"
"1806","1996"
"1807","2022"
"1808","2022"
"1809","2000"
"1810","2016"
"1811","2016"
"1812","2001"
"1813","1973"
"1814","1989"
"1815","1989"
"1816","2018"
"1817","2018"
"1818","2018"
"1819","2013"
"1820","2013"
"1821","2019"
"1822","2019"
"1823","2019"
"1824","0"
"1825","0"
"1826","2019"
"1827","2015"
"1828","2018"
"1829","2018"
"1830","2010"
"1831","2010"
"1832","2004"
"1833","1991"
"1834","2001"
"1835","2001"
"1836","2008"
"1837","2008"
"1838","2022"
"1839","2016"
"1840","2016"
"1841","1976"
"1842","1970"
"1843","1993"
"1844","1993"
"1845","1993"
"1846","2003"
"1847","2003"
"1848","1988"
"1849","1988"
"1850","1988"
"1851","1988"
"1852","2019"
"1853","2019"
"1854","1962"
"1855","2022"
"1856","2022"
"1857","2004"
"1858","2011"
"1859","2011"
"1860","2011"
"1861","2013"
"1862","2013"
"1863","2013"
"1864","2013"
"1865","2006"
"1866","2006"
"1867","1994"
"1868","1994"
"1869","2001"
"1870","1996"
"1871","1996"
"1872","1996"
"1873","1996"
